component,spcd,n,sigma,rmse,sd_pe_pct,fi
TT_DW_ADJ,521,7,2.92144988646835,15.4578180359959,21.9514415938763,0.996351830929601
TT_DW_ADJ,531,211,22.328164000023,351.258805670832,24.5962689654764,0.968711784057494
TT_DW_ADJ,540,270,9.39919848671429,138.314968274443,20.9166840625632,0.961912735383262
TT_DW_ADJ,541,120,13.4646003344033,196.742998732895,23.3690811012554,0.953236385088093
TT_DW_ADJ,543,82,5.86006937873028,62.2145559153446,18.2721288264153,0.977086199026337
TT_DW_ADJ,544,88,17.2811037691431,416.761358660215,20.6769198833547,0.892601835843829
TT_DW_ADJ,591,22,2.31168011405837,8.29655712823436,15.2416423210057,0.978613294700184
TT_DW_ADJ,602,1,inf,25.3380792959562,,-inf
TT_DW_ADJ,611,714,7.20084318617298,121.934324281228,16.8737564252186,0.983846499749856
TT_DW_ADJ,621,180,9.68499872603817,157.221496491665,16.7605395943986,0.988849593049246
TT_DW_ADJ,653,17,4.07513067623068,33.3414240594042,15.6694235310499,0.984145715392823
TT_DW_ADJ,680,4,1.2667596510018,3.65029991309597,12.6216160374674,0.967558417886871
TT_DW_ADJ,691,148,2.12403377685399,17.7213206367898,14.9207829267383,0.99089853622975
TT_DW_ADJ,693,41,6.8720794991104,99.4165065685833,21.5642296995329,0.976952173662111
TT_DW_ADJ,694,151,15.1715350317695,219.947793754759,25.8012489861951,0.911760487541317
TT_DW_ADJ,701,18,2.3950277880066,12.7305171038586,16.163200314432,0.93227177817789
TT_DW_ADJ,711,41,4.00317834958138,33.0873829763621,27.6556378742586,0.97679590037238
TT_DW_ADJ,721,1,inf,1.07531758640008,,-inf
TT_DW_ADJ,731,40,13.4948141141216,220.359782549741,19.5549997233019,0.944130040993711
TT_DW_ADJ,740,128,2.37440878413302,35.294720086782,14.2498134304285,0.992459250180095
TT_DW_ADJ,741,215,9.969339554543,123.831523161722,57.0526741670028,0.944126031158005
TT_DW_ADJ,742,76,8.03009030717341,163.03658187151,31.7429289028508,0.970305102092887
TT_DW_ADJ,743,180,4.39959002976896,50.6871723812935,13.3908274704496,0.985668522519814
TT_DW_ADJ,746,704,7.36132114799227,90.6792322591816,17.266575529257,0.971960252619937
TT_DW_ADJ,747,19,5.51619097879225,48.4854442264556,19.3650032420642,0.96096856541365
TT_DW_ADJ,762,126,13.5500314460376,221.778223034907,20.8848976283818,0.962102915152754
