intercept,logagbt
-2.7932444431810253,0.978374081051083
-2.7595959953249194,0.9762319244943303
-2.775143704954514,0.9773572330652246
-2.7508858385650474,0.9745951810473809
-2.744403098099444,0.9739795267927456
-2.7661605313991395,0.9761881195808682
-2.771329459806065,0.9772005667845879
-2.7796305011478655,0.979055933505121
-2.7308446630115215,0.9719855831014983
-2.7571565875746327,0.9762946713852542
-2.790352651658936,0.9800432888268948
-2.806290224925812,0.9821403174682506
-2.7599478148684935,0.9768664451486894
-2.7516963163249115,0.973695032075371
-2.727787705270372,0.9702798632123278
-2.732228102451246,0.9722676060117642
-2.7458264368802467,0.9742550787163328
-2.7443041970397095,0.9726063075518052
-2.742628710444084,0.9744647135272559
-2.7643691152088468,0.9772046909521439
-2.7632791905780354,0.9763274567453574
-2.7228990024667055,0.9715421820221931
-2.7551068896267252,0.9756061227982493
-2.8071948591394014,0.9808048107720907
-2.733703367892939,0.9709250483143076
-2.7583264242812344,0.9776863938327173
-2.730117733809907,0.9717805905138791
-2.7481873136111146,0.974536947452414
-2.7513983861446683,0.9749461591600739
-2.790357417766783,0.9793156361125742
-2.740051115179686,0.9736139257320309
-2.7688969448925898,0.9754916154315229
-2.7270828971959196,0.9708438175682822
-2.7699840234286843,0.9765909877379394
-2.781235018478072,0.9782894608182368
-2.7813074482608604,0.9776727753918059
-2.721345164448854,0.9711164673759947
-2.743542354433135,0.9743944357640215
-2.7893569581721396,0.9799885597785133
-2.7794818891988826,0.9775077539041064
-2.7551131482237396,0.9751124011739367
-2.8105441352113356,0.9813839350772285
-2.745038503387216,0.9739547985388348
-2.732270308396974,0.9721848185848072
-2.776231463125807,0.9759435911433083
-2.7312287276158793,0.9731225835266715
-2.7433971106426283,0.9741203908459038
-2.770369691225629,0.9767330416214313
-2.7535002184193837,0.9749847091741254
-2.769369137595904,0.9777744111167638
-2.7560760136231544,0.9769184860624505
-2.7460080476613893,0.9738009383562104
-2.7611136493223207,0.9747934813151435
-2.767064044581882,0.9762386954091924
-2.7331980251635715,0.9732673003525247
-2.800382653725442,0.9812059727363044
-2.739568525312433,0.9729898891082349
-2.784278029582262,0.9787187553129758
-2.735989120240916,0.9725148519252436
-2.7252687931475026,0.9707785566577243
-2.7852355232662873,0.9796710049087595
-2.7901023792427027,0.978874452565849
-2.7613183421993472,0.9750765769528141
-2.77722796488388,0.9776414877366852
-2.7647606654042205,0.975734104062858
-2.749117200098471,0.9732539644447994
-2.750905004868765,0.9738244590224069
-2.787974156222584,0.9794475101731192
-2.7692480148863576,0.9763546015763153
-2.7263606185740876,0.9713650839313043
-2.7544468823544164,0.9749111686163081
-2.7856623905739375,0.9785752839971341
-2.7619507941959713,0.9760839280175323
-2.7634102245695447,0.9765377999959409
-2.7728706136635455,0.9767153729821529
-2.7601575852178413,0.9748693072399786
-2.736521794490635,0.9715198633761575
-2.734234855911974,0.9728013645437257
-2.788021227646439,0.9785429228889386
-2.798364270560294,0.9807244519539028
-2.7471227405246004,0.9749206805669838
-2.7674449949579194,0.9770440149645357
-2.7513474343366933,0.9750304903348316
-2.750010393866366,0.9745681668099883
-2.725772235141314,0.9709247592085755
-2.8084540275359857,0.9818192813454425
-2.775616144165866,0.9780127946038466
-2.7801446713387477,0.9768335024452911
-2.7471277690911924,0.9743911757307896
-2.7602356519063562,0.9765690935301719
-2.7513401090583813,0.9755371043154286
-2.7523973241357638,0.9741688118647303
-2.7330224089733637,0.971875586458524
-2.7623002539986254,0.9748706103434495
-2.7683201562521225,0.9761698069483172
-2.773526993304555,0.9764801216945787
-2.7712434691067434,0.9773814066067403
-2.7756138711936846,0.9767927084087781
-2.7687088093027055,0.9769299548107628
-2.76165312116277,0.9756401808295089
-2.7916992947456802,0.979669460231302
-2.784694833802709,0.977875061234738
-2.743262723782105,0.9721402269867376
-2.767962778097667,0.9764384846667902
-2.7569365792989604,0.9743009951268624
-2.719352009795884,0.9706529707245151
