species,wood_density,wood_density_sd
Sacoglottis guianensis,0.835857143,0.070823262
Sagotia racemosa,0.58,0.070823262
Samanea tubulosa,0.702416609,0.123401724
Sapindus saponaria,0.71225,0.070823262
Sapium argutum,0.417140625,0.09413391
Sapium glandulosum,0.41525,0.070823262
Sapium marmieri,0.41,0.070823262
Schizolobium amazonicum,0.58,0.070823262
Senegalia polyphylla,0.702416609,0.123401724
Senna alata,0.602857143,0.09413391
Senna multijuga,0.582,0.070823262
Simaba cedron,0.474333333,0.070823262
Simarouba amara,0.383333333,0.070823262
Siparuna guianensis,0.661833333,0.09413391
Sloanea eichleri,0.75,0.070823262
Sloanea grandiflora,0.81025,0.070823262
Socratea exorrhiza,0.23,0.070823262
Spondias mombin,0.3914375,0.070823262
Sterculia apetala,0.392,0.070823262
Sterculia striata,0.404821667,0.09413391
Stryphnodendron guianense,0.5675,0.070823262
Stryphnodendron pulcherrimum,0.475,0.070823262
Swartzia laurifolia,0.702416609,0.123401724
Swartzia racemosa,0.702416609,0.123401724
Swietenia macrophylla,0.519545455,0.070823262
Syagrus cocoides,0.551760417,0.123401724
Symmeria paniculata,0.67,0.070823262
Symphonia globulifera,0.6004,0.070823262
Syzygium cumini,0.672666667,0.070823262
Tabebuia roseoalba,0.76232284,0.09413391
Tabernaemontana angulata,0.526071429,0.09413391
Tachigali glauca,0.576692308,0.09413391
Tachigali myrmecophila,0.476,0.070823262
Tachigali vulgaris,0.576692308,0.09413391
Talisia esculenta,0.91425,0.070823262
Talisia longifolia,0.833068182,0.09413391
Talisia veraluciana,0.833068182,0.09413391
Tapirira guianensis,0.457,0.070823262
Tectona grandis,0.601444444,0.070823262
Terminalia congesta,0.630496778,0.09413391
Terminalia corrugata,0.630496778,0.09413391
Terminalia grandis,0.630496778,0.09413391
Terminalia lucida,0.65,0.070823262
Terminalia tetraphylla,0.630496778,0.09413391
Thyrsodium guianense,0.65,0.070823262
Thyrsodium spruceanum,0.64,0.070823262
Trattinnickia burserifolia,0.46,0.070823262
Trattinnickia rhoifolia,0.451142857,0.070823262
Trema micrantha,0.319,0.070823262
Triplaris americana,0.49,0.070823262
Triplaris weigeltiana,0.4855,0.070823262
Vatairea erythrocarpa,0.672666667,0.09413391
Vatairea guianensis,0.672,0.070823262
Vatairea sericea,0.665,0.070823262
Virola michelii,0.470125,0.070823262
Virola surinamensis,0.417909091,0.070823262
Vismia guianensis,0.475,0.070823262
Vismia sandwithii,0.493083333,0.09413391
Vochysia inundata,0.485664744,0.09413391
Xylopia aromatica,0.56125,0.070823262
Xylopia cayennensis,0.591037654,0.09413391
Xylopia frutescens,0.593333333,0.070823262
Xylopia nitida,0.548333333,0.070823262
Zanthoxylum rhoifolium,0.56925,0.070823262
Zygia racemosa,0.748,0.070823262
